timestamp,paper,node_id,node_seq,task_id,git_commit,domain,status,summary,evidence,equation_labels,code_block_refs,concept_advance,predecessors,paper_anchor,risk_tier,actor_role,admission_flags,error_db_refs,evidence_sha256,metric_at_landing.name,metric_at_landing.pass,metric_at_landing.threshold,metric_at_landing.value,notes,row_hash,runtime_metadata.allocation,runtime_metadata.az_git_commit,runtime_metadata.basedir,runtime_metadata.checkpoints_reread_by_validator,runtime_metadata.closing_check.command,runtime_metadata.closing_check.timeout_s,runtime_metadata.closing_check_note,runtime_metadata.compiler_or_interpreter,runtime_metadata.cpu_budget,runtime_metadata.cpus_per_task,runtime_metadata.device,runtime_metadata.dtype,runtime_metadata.elapsed,runtime_metadata.key_libraries,runtime_metadata.l40s_admitted_by,runtime_metadata.language,runtime_metadata.n9,runtime_metadata.n_all,runtime_metadata.n_rectangular,runtime_metadata.nlwp_max,runtime_metadata.nlwp_samples,runtime_metadata.o30_reappend_of_row_hash,runtime_metadata.out_of_set_keys_gatekeeper,runtime_metadata.out_of_set_keys_selfplay,runtime_metadata.policy_check,runtime_metadata.result_row,runtime_metadata.slurm_job,runtime_metadata.slurm_job_id,runtime_metadata.torch,runtime_metadata.train_py_sha256_after,runtime_metadata.train_py_sha256_before,verification.command,verification.timeout_s,verification_run.command,verification_run.duration_s,verification_run.exit_code,verification_run.output_sha256,verification_run.output_tail,verification_run.ran_at
2026-09-04T02:04:55.673344+00:00,arxiv-1902.10565,arxiv-1902.10565::transformer_trunk_b5c48h3tfr,1,paper_code_map,17ce80a,numerical,preliminary,"b5c48h3tfr (modelconfigs.py:986-1006): version 17, 5 x (attnrope, ffng), 48 trunk channels, 3 heads / 3 kv heads, ffn 128, q_head_dim 16, RoPE theta 100 non-learnable (tables non-persistent, seq_len must equal pos_len^2), no trunk gpool, exportable to transformer_attention_block/transformer_ffn_block; pos_len enters via train.py -pos-len (required) and must equal selfplay dataBoardLen; export refuses if attention logit bound > 2.5e4",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,,,True,[],"python/katago/train/modelconfigs.py:986-1006,1886; python/katago/train/model_pytorch.py:1252-1290,2108-2171,3103-3111,3157-3160,3231-3285; python/export_model_pytorch.py:42-43,90,469-504; python/katago/train/load_model.py:62,77",R2,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,Code-only: the paper has no attention trunk. [OPEN] arch-gap from acquire is discharged by this node plus derivation.md section 3.,529e05b0dcb63e0dee207a84a30658732fa4679fe9a709956a06f9f88233cf6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:55.740484+00:00,arxiv-1902.10565,arxiv-1902.10565::playout_cap_randomization,1,paper_code_map,17ce80a,numerical,preliminary,"Playout cap randomization as coded: play.cpp:1132-1150 picks a cheap search with prob cheapSearchProb (0.75), visits min(maxVisits, cheapSearchVisits) = 100 vs 600, target weight x cheapSearchTargetWeight (0.0) so cheap turns write no rows, root noise removed on cheap turns; equals the paper's p=0.25, (N,n)=(600,100); board and trunk independent",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,"[""paper l.96-97""]",,False,[],"cpp/program/play.cpp:1113,1127-1150; cpp/program/playsettings.h:44-46; cpp/configs/training/selfplay1_maxsize9.cfg:60-62,115",R0,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,,fe490281bdd312c70304a462c6f3be8261d908c30268ee37771344d39649cc77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:55.792615+00:00,arxiv-1902.10565,arxiv-1902.10565::root_explore_and_target_pruning,1,paper_code_map,17ce80a,numerical,preliminary,"Forced root exploration (searchexplorehelpers.cpp:166-169, coefficient rootDesiredPerChildVisitsCoeff=2 = paper k) and policy-target pruning via getReducedPlaySelectionWeight (searchexplorehelpers.cpp:229-263, applied searchresults.cpp:142-195) plus chosenMovePrune=1 / chosenMoveSubtract=0; useNoisePruning is off in selfplay (SETUP_FOR_OTHER); target written by play.cpp:810-845 -> trainingwrite.cpp:552-553",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,"[""eq:l105"", ""paper l.109""]",,False,[],"cpp/search/searchexplorehelpers.cpp:153-169,229-263; cpp/search/searchresults.cpp:142-195,318-328; cpp/program/setup.cpp:578,645-647,671-676; selfplay1_maxsize9.cfg:141-142,148",R0,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,,c7520ab29f3d3d9bea4f78482faf7c81bb62bce16dd3be926a5fd764d89873e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:55.837153+00:00,arxiv-1902.10565,arxiv-1902.10565::loss_targets_metrics,1,paper_code_map,17ce80a,numerical,preliminary,"Loss as coded in metrics_pytorch.py:856-882: policy 0.930, opponent policy 0.15, soft policy 8.0 x2, optimistic 0.10/0.20, value 1.20 x -value-loss-scale 0.6, TD values 0.72 x3, ownership 1.5/b^2 (exact paper form), scoring 0.25/b^2, futurepos 0.25/b, seki adaptive, score pdf/cdf 0.02/0.02, score mean/stdev 0.0015/0.001, lead 0.006, variance-time 0.0003, shortterm 2.0 / 2e-5, no gamma penalty, decoupled weight decay; all board-parametric via pos_len/mask_sum_hw; q losses zero for b5c48h3tfr",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,"[""eq:l546"", ""eq:l550"", ""eq:l554"", ""eq:l558"", ""eq:l562"", ""eq:l566"", ""eq:l570"", ""eq:l578""]",,False,"[""arxiv-1902.10565::transformer_trunk_b5c48h3tfr""]","python/katago/train/metrics_pytorch.py:28-35,84-88,118-323,600-607,838-882; python/train.py:143-149,632-750",R1,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,,2d0ec9c3b2fd38f23d003bbe0449b57085e3bdbd6de3aa6bf0b74836f1cbf2ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:55.889219+00:00,arxiv-1902.10565,arxiv-1902.10565::score_utility_search,1,paper_code_map,17ce80a,numerical,preliminary,"Score utility u = c * (2/pi) atan((x - x0)/(dynamicScoreCenterScale * sqrt(area))) with c = static (0) + dynamic (0.40) factors, x0 = root expected score x (1 - dynamicScoreCenterZeroWeight 0.25) clamped within 0.5 sqrt(area); tables built at MAX_BOARD_LEN and rescaled; at 9x9 the denominator is 4.5 points; gatekeeper uses dynamicScoreUtilityFactor 0.25",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,"[""eq:l689"", ""eq:l691"", ""eq:l702""]",,False,[],"cpp/neuralnet/nninputs.cpp:40,56-69,100,113-190; cpp/search/search.cpp:1137-1166; cpp/search/searchhelpers.cpp:277-278; cpp/search/searchparams.h:14-17; selfplay1_maxsize9.cfg:157-163; gatekeeper1_maxsize9.cfg:85-88",R0,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,,649bac74110d415599283282e16df0690cfdf9b461a6206132534db84a52b823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:55.949905+00:00,arxiv-1902.10565,arxiv-1902.10565::head_gpool_degeneracy_9x9,1,paper_code_map,17ce80a,numerical,preliminary,"Global pooling survives only in the policy head (KataGPool) and value head (KataValueHeadGPool) with hard constants b_avg 14, sigma^2/100 = 0.1; at strict 9x9 (mask_sum_hw 81) the value-head pooled channels are exactly collinear (pool2 = -0.5 pool1, pool3 = 0.15 pool1) and policy pool2 = -0.5 pool1: harmless but 2/3 of those head columns are redundant; today masked by bSizes 7,8,9 + allowRectangleProb 0.5; re-centering the constants would break C++ backend compatibility (not evaluated)",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,"[""paper l.398-404""]",,True,"[""arxiv-1902.10565::transformer_trunk_b5c48h3tfr""]","python/katago/train/model_pytorch.py:492-543,2647,2711,2745,2855,3157-3160",R1,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,"Decision recorded in DESIGN.md: keep constants (compatibility), accept redundancy; mixed 7-9 training is NOT used because the mission is 9x9-only (assumption a05).",e532ecd5aa5bc0b4c0ec334170a68a9074510ecd9d5f698c8036805c79f3211e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:56.000573+00:00,arxiv-1902.10565,arxiv-1902.10565::train_optimizer_schedule,1,paper_code_map,17ce80a,numerical,preliminary,"train.py defaults: SGD momentum 0.9 (opt-in AdamW/Muon/NorMuon/Aurora), Lookahead k=6 alpha=0.5, per-sample lr 3e-5 x lr_scale x sqrt(batch/256), 9-step warmup ramp to 2M samples, -lr-scale / -lr-scale-auto2 / -lr-schedule, head lr factor 0.5, decoupled weight decay 0.00125 with attn group 0.5, SWA via -swa-period-samples, fp16/bf16 optional, torch.compile on unless -no-compile; transformer knobs -attn-logit-penalty-cap (off) vs export bound 2.5e4",results/ktg/paper_1902.10565/evidence/decomposition/audit_paper_code_map.md,,,False,"[""arxiv-1902.10565::transformer_trunk_b5c48h3tfr""]","python/train.py:83-114,132,140-143,374,523-564,632-750,840-844,938-942,1046-1141; python/muon/muon.py",R1,worker,,,7f29cb1c3c27804d8bb09ea766b2bfa390b415429eef332334cf7334c9a74564,,,,,,8718b5f24d89663a7894afb629c4a49ef674c6a220146912ee89d228dae3afcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:56.055485+00:00,arxiv-1902.10565,arxiv-1902.10565::selfplay_search_params,1,paper_code_map,17ce80a,numerical,preliminary,"Search/thread keys of selfplay1_maxsize9.cfg and gatekeeper1_maxsize9.cfg as shipped (numGameThreads 128, numSearchThreads 1, nnMaxBatchSize 128, maxVisits 600/150, numNNServerThreadsPerModel 1, cudaDeviceToUse* commented out) and the OS-thread model: numGameThreads + nnServer threads per model + dataWrite + modelLoad + main; 24-CPU cap => numGameThreads 18 (selfplay) / 20 (gatekeeper)",results/ktg/paper_1902.10565/evidence/decomposition/audit_loop_scripts_configs.md,,,False,[],"cpp/configs/training/selfplay1_maxsize9.cfg:84,115-124; gatekeeper1_maxsize9.cfg:18,49-57; cpp/command/selfplay.cpp:360-364; cpp/search/searchmultithreadhelpers.cpp:40-52; cpp/program/setup.cpp:194,203; cpp/program/selfplaymanager.cpp:156",R1,worker,,,34dc4af177588d3beb36f9cf31ef056490cf587a1526f138ab5298a4e9900519,,,,,"Evidence type literature_grounding (code reading), hence preliminary not solid; thread totals are computed, not measured (ps -o nlwp on a live selfplay process promotes it).",4173048291f62b035f1dce95c191e57ae6e390df695712b2975e2690f94870cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:56.098048+00:00,arxiv-1902.10565,arxiv-1902.10565::game_randomization_9x9,1,paper_code_map,17ce80a,numerical,preliminary,"Game-init keys in v1.18.2 selfplay cfg: bSizes/bSizeRelProbs/allowRectangleProb (7,8,9 / 1,1,8 / 0.50 in the maxsize9 preset), komiAuto true, komiStdev 1.0, komiBigStdevProb 0.06 / komiBigStdev 12, handicapProb 0.10 (paper: 0 free moves at b<=10 so a no-op on 9x9), forkCompensateKomiProb 0.80, chosenMoveTemperature 0.15/Early 0.75/Halflife 19, startPosesProb and hintPosesProb disabled; a 9x9-only run replaces the board keys with bSizes=9, bSizeRelProbs=1, allowRectangleProb=0",results/ktg/paper_1902.10565/evidence/decomposition/audit_loop_scripts_configs.md,,,False,[],"cpp/configs/training/selfplay1_maxsize9.cfg:37,45,95-108,138-142; paper l.644-665 (background)",R0,worker,,,34dc4af177588d3beb36f9cf31ef056490cf587a1526f138ab5298a4e9900519,,,,,,268b1fcc2b5c2245ec45d6386712c65c4be11e02a606028c66eaf9aeb28fb567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:56.147631+00:00,arxiv-1902.10565,arxiv-1902.10565::gating_rule,1,paper_code_map,17ce80a,numerical,preliminary,"Gating in v1.18.2: numGamesPerGating 200 (cfg), -required-candidate-win-prop default 0.5 (CLI, not passed by synchronous_loop.sh), maxVisits 150, resignation on (threshold -0.90, 5 turns), handicapProb 0; candidate dir renamed into accepted-models-dir or rejected-models-dir; returns 0 with -quit-if-no-nets-to-test and also when accepted-models-dir is empty (cycle 1 skips gating)",results/ktg/paper_1902.10565/evidence/decomposition/audit_loop_scripts_configs.md,,,False,[],"cpp/command/gatekeeper.cpp:271,399-402,516-525,591-598,623-648; cpp/configs/training/gatekeeper1_maxsize9.cfg:18-24,44-45,49; paper l.667-681 (background: 100/200 rule)",R0,worker,,,34dc4af177588d3beb36f9cf31ef056490cf587a1526f138ab5298a4e9900519,,,,,,ecf9f3f99d5e71bbb38d84f92b2f9366fe0abe9a5ffd0ee0ff891044046f8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
